trade_date,stock,purchase_price,return_1d,return_5d,return_21d,return_63d,return_126d,bounce_1d,bounce_5d,bounce_21d,bounce_63d,bounce_126d,max_return_1d,max_return_5d,max_return_21d,max_return_63d,max_return_126d,min_return_1d,min_return_5d,min_return_21d,min_return_63d,min_return_126d,max_drawdown_1d,max_drawdown_5d,max_drawdown_21d,max_drawdown_63d,max_drawdown_126d,days_to_max_1d,days_to_max_5d,days_to_max_21d,days_to_max_63d,days_to_max_126d,days_to_min_1d,days_to_min_5d,days_to_min_21d,days_to_min_63d,days_to_min_126d,min_before_max_1d,min_before_max_5d,min_before_max_21d,min_before_max_63d,min_before_max_126d,relative_volume_1m,relative_volume_1y,relative_volume_2y,relative_value_1m,relative_value_1y,relative_value_2y,volume_quantile_1m,volume_quantile_1y,volume_quantile_2y,value_quantile_1m,value_quantile_1y,value_quantile_2y
2013-03-13,x27422,22.73,-0.04531,-0.08887,-0.1553,-0.2358,0.04003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03519,0.07963,-0.04531,-0.1056,-0.2002,-0.238,-0.3102,-0.04531,-0.1056,-0.2002,-0.2618,-0.3336,0.0,0.0,0.0,41.0,107.0,1.0,4.0,13.0,28.0,79.0,0.0,0.0,0.0,1.0,1.0,1.79,1.538,1.061,0.1328,0.2025,0.2919,0.866,0.8474,0.7533,0.046,0.1507,0.2827
2013-03-15,x88352,459.44,0.05677,0.0652,0.1109,0.08461,-0.1838,1.0,1.0,1.0,1.0,0.0,0.05677,0.0793,0.1157,0.1176,0.1176,0.0,0.0,0.0,0.0,-0.1888,0.0,-0.01831,-0.02548,-0.08247,-0.2742,1.0,3.0,18.0,58.0,58.0,0.0,0.0,0.0,0.0,125.0,1.0,1.0,1.0,1.0,0.0,0.1341,0.08723,0.07396,0.7582,0.7957,0.8198,0.068,0.01174,0.005693,0.678,0.7123,0.7154
2013-03-26,x91391,8.14,-0.01843,0.008599,0.07359,-0.03317,0.05774,0.0,1.0,1.0,0.0,1.0,0.0,0.009828,0.08968,0.08968,0.08968,-0.01843,-0.0258,-0.0258,-0.04177,-0.0602,-0.01843,-0.0258,-0.03856,-0.1206,-0.1375,0.0,4.0,12.0,12.0,12.0,1.0,2.0,2.0,60.0,64.0,0.0,1.0,1.0,0.0,0.0,1.609,1.608,1.469,0.1796,0.2098,0.2399,0.866,0.8532,0.8422,0.114,0.1624,0.2148
2013-03-27,x79915,22.38,0.001787,-0.04066,0.0004482,0.0782,0.252,1.0,0.0,1.0,1.0,1.0,0.001787,0.001787,0.01519,0.1122,0.252,0.0,-0.04066,-0.1135,-0.1135,-0.1135,0.0,-0.04237,-0.1268,-0.1268,-0.1791,1.0,1.0,8.0,43.0,126.0,0.0,5.0,18.0,18.0,18.0,1.0,0.0,0.0,1.0,1.0,0.4036,0.4433,0.4524,0.111,0.1461,0.1727,0.4,0.4188,0.4335,0.028,0.08415,0.1236
2013-04-02,x76644,17.65,-0.0119,0.01926,-0.01983,0.006797,0.1666,0.0,1.0,0.0,1.0,1.0,0.0,0.01926,0.01926,0.09122,0.1994,-0.0119,-0.0238,-0.08329,-0.08329,-0.08329,-0.0119,-0.0238,-0.1006,-0.1464,-0.1464,0.0,5.0,5.0,26.0,119.0,1.0,4.0,15.0,15.0,15.0,0.0,1.0,0.0,1.0,1.0,1.641,1.697,1.794,0.09974,0.1184,0.1374,0.866,0.8611,0.8859,0.012,0.04697,0.07605
2013-04-03,x21207,38.47,0.0169,0.01352,-0.151,-0.2417,-0.2927,1.0,1.0,0.0,0.0,0.0,0.0169,0.04055,0.04055,0.04055,0.04055,0.0,0.0,-0.1588,-0.2924,-0.3117,0.0,-0.02598,-0.1916,-0.32,-0.3385,1.0,4.0,4.0,4.0,4.0,0.0,0.0,10.0,59.0,88.0,1.0,1.0,0.0,0.0,0.0,1.366,1.228,1.18,0.6975,0.873,0.9994,0.822,0.8063,0.7852,0.654,0.7397,0.7643
2013-04-03,x92293,56.07,-0.07455,0.003387,-0.05368,-0.1079,-0.01462,0.0,1.0,0.0,0.0,0.0,0.0,0.003387,0.003387,0.0387,0.1552,-0.07455,-0.07455,-0.1188,-0.1379,-0.1379,-0.07455,-0.07455,-0.1218,-0.17,-0.17,0.0,5.0,5.0,34.0,92.0,1.0,1.0,14.0,57.0,57.0,0.0,1.0,0.0,0.0,1.0,0.3087,0.3602,0.3315,0.3316,0.4239,0.435,0.292,0.317,0.2928,0.338,0.456,0.4601
2013-04-05,x86964,73.21,-0.00601,0.02418,0.05887,-0.05491,0.2082,0.0,1.0,1.0,0.0,1.0,0.0,0.03674,0.05887,0.149,0.2788,-0.00601,-0.01038,-0.02499,-0.07089,-0.07089,-0.00601,-0.01212,-0.05955,-0.1914,-0.1914,0.0,4.0,21.0,38.0,117.0,1.0,2.0,10.0,55.0,55.0,0.0,1.0,1.0,0.0,1.0,0.3101,0.3441,0.3371,0.2445,0.2873,0.3352,0.282,0.3059,0.3023,0.196,0.2824,0.3422
2013-04-09,x18403,13.93,0.01149,0.09045,0.2642,0.224,-0.4465,1.0,1.0,1.0,1.0,0.0,0.01149,0.09045,0.2642,0.392,0.392,0.0,0.0,0.0,0.0,-0.4465,0.0,-0.03163,-0.05759,-0.2047,-0.6024,1.0,5.0,21.0,32.0,32.0,0.0,0.0,0.0,0.0,126.0,1.0,1.0,1.0,1.0,0.0,2.83,2.196,1.639,0.1169,0.1728,0.2309,0.932,0.9137,0.8612,0.04,0.1235,0.2091
2013-04-15,x10147,46.6,0.01317,-0.04083,0.009658,0.1093,0.1106,1.0,0.0,1.0,1.0,1.0,0.01317,0.01317,0.02941,0.1093,0.187,0.0,-0.05619,-0.05619,-0.05619,-0.05619,0.0,-0.06846,-0.06846,-0.06846,-0.09098,1.0,1.0,17.0,63.0,81.0,0.0,4.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,4.41,4.109,3.86,1.708,1.983,2.106,0.962,0.9569,0.9638,0.868,0.8863,0.8933
