trade_date,stock,purchase_price,trigger_drop_pct,return_1d,return_5d,return_21d,return_63d,return_126d,bounce_1d,bounce_5d,bounce_21d,bounce_63d,bounce_126d,max_return_1d,max_return_5d,max_return_21d,max_return_63d,max_return_126d,min_return_1d,min_return_5d,min_return_21d,min_return_63d,min_return_126d,max_drawdown_1d,max_drawdown_5d,max_drawdown_21d,max_drawdown_63d,max_drawdown_126d,days_to_max_1d,days_to_max_5d,days_to_max_21d,days_to_max_63d,days_to_max_126d,days_to_min_1d,days_to_min_5d,days_to_min_21d,days_to_min_63d,days_to_min_126d,min_before_max_1d,min_before_max_5d,min_before_max_21d,min_before_max_63d,min_before_max_126d,relative_volume_1m,relative_volume_1y,relative_volume_2y,relative_value_1m,relative_value_1y,relative_value_2y,volume_quantile_1m,volume_quantile_1y,volume_quantile_2y,value_quantile_1m,value_quantile_1y,value_quantile_2y
2016-09-08,x80286,69.38,-0.1694,-0.01384,-0.004612,-0.02162,0.1155,0.04511,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.1049,0.1258,0.0,-0.01384,-0.03502,-0.1075,-0.1075,-0.01384,-0.01384,-0.03502,-0.1075,-0.1075,0,0,0,63,72,1,1,18,36,36,0.0,0.0,0.0,1.0,1.0,0.5055,0.2527,0.2403,0.29,0.3352,0.3301,0.4635,0.162,0.1411,0.2643,0.3538,0.3357
2020-03-16,x80381,163.47,-0.1537,0.1108,-0.2593,-0.01462,-0.01688,-0.0545,1,0.0,0.0,0.0,0.0,0.0,0.1108,0.1108,0.1108,0.1108,0.0,-0.1948,-0.2593,-0.2593,-0.2593,0.0,-0.3332,-0.3332,-0.3332,-0.3332,1,1,1,1,1,0,5,5,5,5,1.0,0.0,0.0,0.0,0.0,0.1501,0.1562,0.1435,0.573,0.5818,0.5721,0.08893,0.07985,0.05978,0.6225,0.6084,0.6051
2018-06-04,x80539,52.57,-0.4182,0.06448,0.00856,-0.08674,0.2648,-0.2317,1,1.0,0.0,1.0,0.0,0.0,0.141,0.141,0.2697,0.3028,0.0,0.0,-0.1202,-0.1202,-0.3529,0.0,-0.1169,-0.2289,-0.2289,-0.5033,1,2,2,61,64,0,0,17,17,112,1.0,1.0,0.0,1.0,0.0,1.095,0.7026,0.7249,0.2887,0.3393,0.3737,0.7648,0.6186,0.6309,0.2866,0.3814,0.4182
2018-10-22,x80539,39.89,-0.1722,-0.009777,-0.08323,-0.04437,0.08373,-0.2033,0,0.0,0.0,1.0,0.0,0.0,0.0,0.02005,0.1582,0.1619,0.0,-0.08223,-0.1472,-0.2372,-0.2372,-0.009777,-0.08323,-0.1639,-0.2521,-0.3312,0,0,8,60,75,1,5,14,43,43,0.0,0.0,0.0,1.0,1.0,0.4908,0.7128,0.7235,0.1859,0.2463,0.2719,0.4852,0.6188,0.6286,0.1164,0.2031,0.2391
2019-08-09,x80539,20.92,-0.2925,-0.1119,-0.1348,-0.04828,,,0,0.0,0.0,,,0.0,0.0,0.0,0.01434,0.01434,0.0,-0.1305,-0.1917,-0.1917,-0.1917,-0.1119,-0.1348,-0.1917,-0.1917,-0.1917,0,0,0,25,25,1,5,12,12,12,0.0,0.0,0.0,1.0,1.0,0.6802,0.4609,0.5777,0.1052,0.1494,0.1876,0.5957,0.4434,0.5328,0.02761,0.06415,0.1004
2021-11-04,x80563,57.4,-0.2108,0.07596,0.01376,-0.116,-0.2162,-0.4019,1,1.0,0.0,0.0,0.0,0.0,0.07596,0.07596,0.07596,0.07596,0.0,-0.01986,-0.1662,-0.2871,-0.3632,0.0,-0.08906,-0.2251,-0.3374,-0.4441,1,1,1,1,1,0,4,18,53,126,1.0,0.0,0.0,0.0,0.0,1.618,1.077,0.989,0.1542,0.18,0.2092,0.8535,0.7782,0.7426,0.1069,0.1606,0.2151
2020-03-16,x80681,223.67,-0.1888,0.05544,-0.1853,0.09715,0.09375,-0.005726,1,0.0,1.0,1.0,0.0,0.0,0.05544,0.1294,0.2349,0.2349,0.0,-0.1222,-0.1853,-0.1853,-0.1853,0.0,-0.2281,-0.2281,-0.2281,-0.2371,1,1,20,58,58,0,5,5,5,5,1.0,0.0,1.0,1.0,1.0,0.08829,0.08777,0.08295,0.3834,0.4002,0.3889,0.02174,0.01711,0.01449,0.4625,0.4601,0.4529
2020-03-16,x80711,35.48,-0.2289,0.05182,-0.2878,0.05548,0.1022,0.05547,1,0.0,1.0,1.0,1.0,0.0,0.05182,0.1256,0.234,0.234,0.0,-0.2028,-0.2878,-0.2878,-0.2878,0.0,-0.3229,-0.3229,-0.3229,-0.3229,1,1,18,58,58,0,5,5,5,5,1.0,0.0,1.0,1.0,1.0,0.2591,0.2652,0.2506,0.1448,0.152,0.1546,0.2411,0.2015,0.2029,0.1146,0.08555,0.0779
2020-03-16,x81045,53.99,-0.2493,0.02093,-0.1973,-0.04612,0.1589,0.2132,1,0.0,0.0,1.0,1.0,0.0,0.02093,0.08094,0.1886,0.1971,0.0,-0.2128,-0.2128,-0.2128,-0.2128,0.0,-0.229,-0.2529,-0.2529,-0.2529,1,1,8,58,126,0,2,2,2,2,1.0,0.0,1.0,1.0,1.0,0.5818,0.4874,0.4489,0.4941,0.4684,0.4322,0.5514,0.4715,0.442,0.5672,0.5285,0.4873
2020-03-16,x81055,55.45,-0.2387,-0.02759,-0.2269,-0.0514,0.2835,0.3461,0,0.0,0.0,1.0,1.0,0.0,0.0,0.08404,0.4427,0.4427,0.0,-0.2011,-0.2377,-0.2377,-0.2377,-0.02759,-0.2269,-0.2696,-0.2696,-0.2706,0,0,18,58,58,1,5,14,14,14,0.0,0.0,1.0,1.0,1.0,0.587,0.5565,0.5547,0.7724,0.86,0.9227,0.5573,0.5304,0.5399,0.6996,0.7186,0.7337
